UserName,D0_total_time,D0_num_games,D0_num_sessions,D0_num_genres,D0_most_played_genre,D0_most_played_game,D0_first_activity_hour,D0_last_activity_hour,D1,D2,D3,D6
Benstokes,36.2,6,4,6,6,8,21,21,0,1,1,1
Best,33.31666667,6,6,5,6,7,21,21,1,1,1,1
Bestplayer,30.65,6,1,2,6,6,12,12,1,1,0,0
Bestsiblings,26.81666667,8,4,4,8,4,19,19,0,1,1,1
Bestworld,144.1166667,15,10,9,14,6,19,19,1,0,0,1
Bglaleena,159.95,15,10,9,10,0,23,23,1,0,1,1
Bhaavu,39.35,11,1,9,1,2,23,23,0,0,1,1
Bhaiyakabhai,26.68333333,1,0,4,0,23,14,14,1,0,1,0
Bhakti,26.66666667,1,0,2,1,6,16,16,0,1,1,0
Bharat,27.03333333,7,2,1,7,0,21,21,0,1,1,0
Bharbi,27.05,8,3,0,0,9,12,12,1,1,1,0
Bhaskarpapagod,40.5,9,0,9,2,2,15,15,1,0,0,1
Bhaumik,27.31666667,6,2,8,6,0,17,17,1,0,1,1
Bhavesh,30.75,6,4,9,6,4,9,9,1,0,0,1
Bhavi,51,6,3,9,6,0,12,12,1,0,0,1
Bhavik,33.78333333,9,6,3,1,9,14,14,1,1,1,0
Bhavika,32.86666667,5,6,0,0,2,19,19,0,1,1,0
Bhavin,66.66666667,11,8,9,11,4,11,11,1,0,0,1
Bhavish,69.63333333,5,0,9,5,12,23,23,0,0,1,1
Bhavishya1239,29.46666667,9,5,3,1,9,22,22,0,1,1,0
Bhavjot,123.9666667,9,10,9,9,10,12,12,1,0,0,1
Bhavy,46.35,10,7,5,10,1,12,12,1,1,0,1
Bhavya,30.36666667,2,3,4,2,13,0,0,1,0,0,0
Bhavyaandkabir,83.18333333,7,10,4,7,1,22,22,1,1,1,0
Bhavyansh,28.45,1,2,1,1,14,13,13,1,1,1,0
Bhawiksaini,30.05,6,5,7,2,9,9,9,1,0,0,1
Bholaa,38.15,0,6,0,0,0,14,14,1,1,1,0
Bhoomi,37.3,2,4,7,2,1,13,13,1,0,1,1
Bhumi,51.26666667,12,9,9,12,5,12,12,1,0,0,1
Bhumika,52.78333333,6,7,2,6,2,19,19,0,1,1,0
Bhumiyashika,33.48333333,9,3,6,0,0,12,12,1,0,0,1
Bhunu,47.55,13,2,0,0,6,19,19,0,1,1,0
Bhurio,45.25,9,8,1,9,13,15,15,1,1,1,0
Bhushan,35.58333333,0,6,7,0,0,0,0,1,0,0,1
Bhuv,43.96666667,13,8,9,13,10,19,19,1,0,1,1
Bhuvan,31.8,3,1,2,3,11,20,20,0,1,1,0
Bhuvanyu,52,15,3,9,12,15,0,0,1,0,0,1
Bhuvi,28.35,9,3,3,9,6,14,14,1,1,1,0
Bhuvik,51.31666667,1,5,6,1,34,11,11,1,0,0,0
Bihan,50,0,5,2,0,0,23,23,0,1,1,0
Bihar,27.21666667,4,3,2,4,3,14,14,1,1,1,0
Bilal,32.7,10,4,4,5,10,20,20,0,1,1,1
Billi,28.31666667,1,5,5,1,15,14,14,1,1,1,0
Bilvani,47.58333333,15,5,6,9,3,16,16,1,1,0,1
Bina,38.8,5,6,6,3,7,11,11,1,0,0,1
Binish,101.35,15,10,9,15,19,15,15,1,0,0,1
Bipin,33.21666667,5,4,2,5,11,19,19,0,1,1,0
Bitu,81.53333333,15,10,9,15,15,20,20,1,0,1,1
Blabla,59.71666667,0,6,9,0,0,12,12,1,0,0,1
Blablabla,82.75,14,8,9,7,7,2,2,1,0,0,1
BlackPink,32.18333333,6,2,8,3,9,14,14,1,0,0,1
BlackRock,26.85,4,2,6,4,6,9,9,1,0,0,1
Blackavatar,34.9,8,4,5,8,4,9,9,1,0,0,1
Blackcurrent,142.6333333,11,10,9,5,9,14,14,1,0,0,1
Blink,37.3,10,2,1,8,0,14,14,0,1,1,0
BlinkRose,37.41666667,9,5,9,9,8,22,22,1,0,1,1
Bliss,32.66666667,4,1,0,0,8,21,21,0,1,1,0
Bluemoon,64.45,0,3,9,0,0,13,13,1,0,0,1
Blues,45.46666667,13,1,9,11,11,16,16,1,0,0,1
BoBoiBoy,50.25,15,8,7,15,12,11,11,1,0,0,1
BohemeRoyal,51.3,0,2,0,0,0,20,20,0,1,1,0
Bonny,42.68333333,9,3,9,9,7,21,21,1,0,1,1
Bopro,81.18333333,14,4,9,4,15,23,23,0,0,1,1
Boss,139.8833333,12,10,9,6,23,15,15,1,0,0,1
BossAyan1729,42.01666667,7,2,9,7,12,15,15,1,0,0,1
Bossabuzar,27.93333333,8,4,7,0,0,13,13,1,0,0,1
Bossyuvaan,33.16666667,7,3,3,7,10,14,14,1,1,1,0
Bothra,87.53333333,7,10,4,0,8,22,22,1,1,1,0
Bprmh,37.75,10,1,9,6,2,15,15,1,0,0,1
Bprpk,27.08333333,5,2,7,5,5,14,14,1,0,1,1
Brahmaani,30.01666667,6,2,1,6,9,18,18,0,1,1,0
Brahmi,318.7333333,15,10,9,15,19,4,4,1,0,0,0
Brij,27.2,6,2,1,6,1,9,9,1,1,0,0
Broni,93.8,8,10,9,8,6,20,20,1,0,1,1
Brosisgaming,36.8,8,0,8,1,3,13,13,1,0,0,1
Btqbayh,30.21666667,3,3,8,3,10,17,17,1,0,1,1
Btsarmy21,31.06666667,4,5,0,0,0,13,13,1,1,1,0
Btsv07,36.38333333,2,6,9,2,8,13,13,1,0,1,1
Buavyajain,33.16666667,0,3,4,0,0,17,17,1,1,1,0
Bulbul,28.08333333,9,2,6,0,6,14,14,1,0,0,1
Bunny,28.3,8,2,8,7,7,20,20,1,0,1,1
Bunnymaira,31.76666667,2,4,2,2,8,0,0,1,1,0,0
Burhan,29.36666667,2,4,8,2,1,13,13,1,0,1,1
Burhanubbin,34.45,0,0,7,0,0,13,13,1,0,1,1
Burhanuddin,26.61666667,6,0,0,0,9,19,19,0,1,1,0
Butterscotch,137.25,15,10,9,15,14,17,17,1,0,0,1
Byeh,27.56666667,5,3,7,5,5,22,22,0,0,1,1
CDuggu,30.5,3,4,0,0,5,23,23,0,1,1,0
CHAMPBRO,46.45,2,0,0,0,6,17,17,0,1,1,0
CHIRAG,586.8166667,15,10,9,15,14,9,9,1,0,0,0
